year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,ALABAMA,AL,AUTAUGA,1001,US PRESIDENT,JOSEPH R BIDEN JR,1,7503,27770,20220315,TOTAL
2020,ALABAMA,AL,AUTAUGA,1001,US PRESIDENT,OTHER,3,429,27770,20220315,TOTAL
2020,ALABAMA,AL,AUTAUGA,1001,US PRESIDENT,DONALD J TRUMP,0,19838,27770,20220315,TOTAL
2020,ALABAMA,AL,BALDWIN,1003,US PRESIDENT,JOSEPH R BIDEN JR,1,24578,109679,20220315,TOTAL
2020,ALABAMA,AL,BALDWIN,1003,US PRESIDENT,OTHER,3,1557,109679,20220315,TOTAL
2020,ALABAMA,AL,BALDWIN,1003,US PRESIDENT,DONALD J TRUMP,0,83544,109679,20220315,TOTAL
2020,ALABAMA,AL,BARBOUR,1005,US PRESIDENT,JOSEPH R BIDEN JR,1,4816,10518,20220315,TOTAL
2020,ALABAMA,AL,BARBOUR,1005,US PRESIDENT,OTHER,3,80,10518,20220315,TOTAL
2020,ALABAMA,AL,BARBOUR,1005,US PRESIDENT,DONALD J TRUMP,0,5622,10518,20220315,TOTAL
2020,ALABAMA,AL,BIBB,1007,US PRESIDENT,JOSEPH R BIDEN JR,1,1986,9595,20220315,TOTAL
2020,ALABAMA,AL,BIBB,1007,US PRESIDENT,OTHER,3,84,9595,20220315,TOTAL
2020,ALABAMA,AL,BIBB,1007,US PRESIDENT,DONALD J TRUMP,0,7525,9595,20220315,TOTAL
2020,ALABAMA,AL,BLOUNT,1009,US PRESIDENT,JOSEPH R BIDEN JR,1,2640,27588,20220315,TOTAL
2020,ALABAMA,AL,BLOUNT,1009,US PRESIDENT,OTHER,3,237,27588,20220315,TOTAL
2020,ALABAMA,AL,BLOUNT,1009,US PRESIDENT,DONALD J TRUMP,0,24711,27588,20220315,TOTAL
2020,ALABAMA,AL,BULLOCK,1011,US PRESIDENT,JOSEPH R BIDEN JR,1,3446,4613,20220315,TOTAL
2020,ALABAMA,AL,BULLOCK,1011,US PRESIDENT,OTHER,3,21,4613,20220315,TOTAL
2020,ALABAMA,AL,BULLOCK,1011,US PRESIDENT,DONALD J TRUMP,0,1146,4613,20220315,TOTAL
2020,ALABAMA,AL,BUTLER,1013,US PRESIDENT,JOSEPH R BIDEN JR,1,3965,9488,20220315,TOTAL
2020,ALABAMA,AL,BUTLER,1013,US PRESIDENT,OTHER,3,65,9488,20220315,TOTAL
2020,ALABAMA,AL,BUTLER,1013,US PRESIDENT,DONALD J TRUMP,0,5458,9488,20220315,TOTAL
2020,ALABAMA,AL,CALHOUN,1015,US PRESIDENT,JOSEPH R BIDEN JR,1,15216,50983,20220315,TOTAL
2020,ALABAMA,AL,CALHOUN,1015,US PRESIDENT,OTHER,3,666,50983,20220315,TOTAL
2020,ALABAMA,AL,CALHOUN,1015,US PRESIDENT,DONALD J TRUMP,0,35101,50983,20220315,TOTAL
2020,ALABAMA,AL,CHAMBERS,1017,US PRESIDENT,JOSEPH R BIDEN JR,1,6365,15284,20220315,TOTAL
2020,ALABAMA,AL,CHAMBERS,1017,US PRESIDENT,OTHER,3,166,15284,20220315,TOTAL
2020,ALABAMA,AL,CHAMBERS,1017,US PRESIDENT,DONALD J TRUMP,0,8753,15284,20220315,TOTAL
2020,ALABAMA,AL,CHEROKEE,1019,US PRESIDENT,JOSEPH R BIDEN JR,1,1624,12301,20220315,TOTAL
2020,ALABAMA,AL,CHEROKEE,1019,US PRESIDENT,OTHER,3,94,12301,20220315,TOTAL
2020,ALABAMA,AL,CHEROKEE,1019,US PRESIDENT,DONALD J TRUMP,0,10583,12301,20220315,TOTAL
2020,ALABAMA,AL,CHILTON,1021,US PRESIDENT,JOSEPH R BIDEN JR,1,3073,19310,20220315,TOTAL
2020,ALABAMA,AL,CHILTON,1021,US PRESIDENT,OTHER,3,152,19310,20220315,TOTAL
2020,ALABAMA,AL,CHILTON,1021,US PRESIDENT,DONALD J TRUMP,0,16085,19310,20220315,TOTAL
2020,ALABAMA,AL,CHOCTAW,1023,US PRESIDENT,JOSEPH R BIDEN JR,1,3127,7464,20220315,TOTAL
2020,ALABAMA,AL,CHOCTAW,1023,US PRESIDENT,OTHER,3,41,7464,20220315,TOTAL
2020,ALABAMA,AL,CHOCTAW,1023,US PRESIDENT,DONALD J TRUMP,0,4296,7464,20220315,TOTAL
